record_id,author_year,outcome_dim,minority_group,registry_family,coverage_tier,period,provenance,irr,irr_ci_lo,irr_ci_hi,cluster,main_analysis,representative_reason
161,Loo2019_HTR,subtype-HRpos-HER2neg,Chinese,Hawaii Tumor Registry (SEER),2,2000-2016,directly-reported-IRR,0.58,,,subtype-HRpos-HER2neg | Chinese | national,yes (representative),sole estimate in cell
161,Loo2019_HTR,subtype-HRpos-HER2neg,Filipino,Hawaii Tumor Registry (SEER),2,2000-2016,directly-reported-IRR,0.64,0.63,0.66,subtype-HRpos-HER2neg | Filipino | national,yes (representative),sole estimate in cell
2,Howlader2014_SEER18,subtype-HRpos-HER2neg,Hispanic,SEER-national,6,2010,computed-from-rates-with-CI,0.604,0.581,0.627,subtype-HRpos-HER2neg | Hispanic | national,no (overlaps representative),collapses to cell representative (same outcome x group x family)
286,Kong2020_SEER18,subtype-HRpos-HER2neg,Hispanic,SEER-national,6,2010-2015,directly-reported-IRR,0.78,0.76,0.79,subtype-HRpos-HER2neg | Hispanic | national,yes (representative),best of 2 in cell by provenance/coverage/period
161,Loo2019_HTR,subtype-HRpos-HER2neg,Japanese,Hawaii Tumor Registry (SEER),2,2000-2016,directly-reported-IRR,1.03,1.03,1.04,subtype-HRpos-HER2neg | Japanese | national,yes (representative),sole estimate in cell
161,Loo2019_HTR,subtype-HRpos-HER2neg,Native Hawaiian,Hawaii Tumor Registry (SEER),2,2000-2016,directly-reported-IRR,1.12,1.11,1.14,subtype-HRpos-HER2neg | Native Hawaiian | national,yes (representative),sole estimate in cell
324,Gomez2017_CCR,subtype-HRpos-HER2neg,South Asian,California-CCR,3,2009-2013,directly-reported-IRR,1.48,1.29,1.69,subtype-HRpos-HER2neg | South Asian | national,yes (representative),sole estimate in cell
324,Gomez2017_CCR,subtype-HRpos-HER2neg,Vietnamese,California-CCR,3,2009-2013,directly-reported-IRR,1.39,1.12,1.73,subtype-HRpos-HER2neg | Vietnamese | national,yes (representative),sole estimate in cell
2,Howlader2014_SEER18,subtype-HRpos-HER2pos,Asian/PI (aggregate),SEER-national,6,2010,computed-from-rates-with-CI,0.850,0.768,0.941,subtype-HRpos-HER2pos | Asian/PI (aggregate) | national,yes (representative),sole estimate in cell
2,Howlader2014_SEER18,subtype-HRpos-HER2pos,Black,SEER-national,6,2010,computed-from-rates-with-CI,1.004,0.916,1.101,subtype-HRpos-HER2pos | Black | national,no (overlaps representative),collapses to cell representative (same outcome x group x family)
286,Kong2020_SEER18,subtype-HRpos-HER2pos,Black,SEER-national,6,2010-2015,directly-reported-IRR,1.12,1.08,1.16,subtype-HRpos-HER2pos | Black | national,yes (representative),best of 2 in cell by provenance/coverage/period
161,Loo2019_HTR,subtype-HRpos-HER2pos,Chinese,Hawaii Tumor Registry (SEER),2,2000-2016,directly-reported-IRR,0.72,0.55,0.9,subtype-HRpos-HER2pos | Chinese | national,yes (representative),sole estimate in cell
161,Loo2019_HTR,subtype-HRpos-HER2pos,Filipino,Hawaii Tumor Registry (SEER),2,2000-2016,directly-reported-IRR,0.88,0.86,0.91,subtype-HRpos-HER2pos | Filipino | national,yes (representative),sole estimate in cell
2,Howlader2014_SEER18,subtype-HRpos-HER2pos,Hispanic,SEER-national,6,2010,computed-from-rates-with-CI,0.687,0.625,0.756,subtype-HRpos-HER2pos | Hispanic | national,no (overlaps representative),collapses to cell representative (same outcome x group x family)
286,Kong2020_SEER18,subtype-HRpos-HER2pos,Hispanic,SEER-national,6,2010-2015,directly-reported-IRR,0.91,0.88,0.94,subtype-HRpos-HER2pos | Hispanic | national,yes (representative),best of 2 in cell by provenance/coverage/period
161,Loo2019_HTR,subtype-HRpos-HER2pos,Japanese,Hawaii Tumor Registry (SEER),2,2000-2016,directly-reported-IRR,1.03,1.02,1.05,subtype-HRpos-HER2pos | Japanese | national,yes (representative),sole estimate in cell
161,Loo2019_HTR,subtype-HRpos-HER2pos,Native Hawaiian,Hawaii Tumor Registry (SEER),2,2000-2016,directly-reported-IRR,1.35,1.347,1.351,subtype-HRpos-HER2pos | Native Hawaiian | national,yes (representative),sole estimate in cell
155,Sung2023_USCS,subtype-TNBC,AIAN,USCS(NPCR+SEER ~99%),9,2015-2019,directly-reported-IRR,0.860,0.800,0.930,subtype-TNBC | AIAN | national,yes (representative),sole estimate in cell
324,Gomez2017_CCR,subtype-TNBC,Asian-American combined,California-CCR,3,2009-2013,directly-reported-IRR,0.61,0.58,0.65,subtype-TNBC | Asian-American combined | national,yes (representative),sole estimate in cell
155,Sung2023_USCS,subtype-TNBC,Asian/PI (aggregate),USCS(NPCR+SEER ~99%),9,2015-2019,directly-reported-IRR,0.700,0.680,0.720,subtype-TNBC | Asian/PI (aggregate) | national,yes (representative),best of 3 in cell by provenance/coverage/period
2,Howlader2014_SEER18,subtype-TNBC,Asian/PI (aggregate),SEER-national,6,2010,computed-from-rates-with-CI,0.640,0.572,0.716,subtype-TNBC | Asian/PI (aggregate) | national,no (overlaps representative),collapses to cell representative (same outcome x group x family)
286,Kong2020_SEER18,subtype-TNBC,Asian/PI (aggregate),SEER-national,6,2010-2015,directly-reported-IRR,0.79,0.75,0.83,subtype-TNBC | Asian/PI (aggregate) | national,no (overlaps representative),collapses to cell representative (same outcome x group x family)
155,Sung2023_USCS,subtype-TNBC,Black,USCS(NPCR+SEER ~99%),9,2015-2019,directly-reported-IRR,1.950,1.930,1.980,subtype-TNBC | Black | national,yes (representative),best of 5 in cell by provenance/coverage/period
2,Howlader2014_SEER18,subtype-TNBC,Black,SEER-national,6,2010,computed-from-rates-with-CI,1.817,1.697,1.946,subtype-TNBC | Black | national,no (overlaps representative),collapses to cell representative (same outcome x group x family)
234,Gomez2026_SEER21,subtype-TNBC,Black,SEER-national,6,2018-2022,computed-from-rates-with-CI,2.0,1.958,2.043,subtype-TNBC | Black | national,no (overlaps representative),collapses to cell representative (same outcome x group x family)
286,Kong2020_SEER18,subtype-TNBC,Black,SEER-national,6,2010-2015,directly-reported-IRR,2.07,2.01,2.14,subtype-TNBC | Black | national,no (overlaps representative),collapses to cell representative (same outcome x group x family)
381,Lund2010_AtlantaSEER,subtype-TNBC,Black,SEER-national,6,2003-2004,computed-from-rates,1.871,,,subtype-TNBC | Black | national,no (overlaps representative),collapses to cell representative (same outcome x group x family)
161,Loo2019_HTR,subtype-TNBC,Chinese,Hawaii Tumor Registry (SEER),2,2000-2016,directly-reported-IRR,0.53,0.39,0.71,subtype-TNBC | Chinese | national,yes (representative),sole estimate in cell
161,Loo2019_HTR,subtype-TNBC,Filipino,Hawaii Tumor Registry (SEER),2,2000-2016,directly-reported-IRR,0.84,0.8,0.88,subtype-TNBC | Filipino | national,yes (representative),sole estimate in cell
155,Sung2023_USCS,subtype-TNBC,Hispanic,USCS(NPCR+SEER ~99%),9,2015-2019,directly-reported-IRR,0.860,0.840,0.880,subtype-TNBC | Hispanic | national,yes (representative),best of 3 in cell by provenance/coverage/period
2,Howlader2014_SEER18,subtype-TNBC,Hispanic,SEER-national,6,2010,computed-from-rates-with-CI,0.824,0.756,0.897,subtype-TNBC | Hispanic | national,no (overlaps representative),collapses to cell representative (same outcome x group x family)
286,Kong2020_SEER18,subtype-TNBC,Hispanic,SEER-national,6,2010-2015,directly-reported-IRR,0.94,0.91,0.98,subtype-TNBC | Hispanic | national,no (overlaps representative),collapses to cell representative (same outcome x group x family)
161,Loo2019_HTR,subtype-TNBC,Native Hawaiian,Hawaii Tumor Registry (SEER),2,2000-2016,directly-reported-IRR,0.86,0.79,0.91,subtype-TNBC | Native Hawaiian | national,yes (representative),sole estimate in cell
