record_id,year,series,title,doi,doi_url,pmid,pubmed_url
436,2026,PRIMARY,"Incidence, Trends, and Racial/Ethnic Disparities in Female Breast Cancer in the United States, 2000-2023: A SEER Based Study",10.1177/10732748261470901,https://doi.org/10.1177/10732748261470901,42466659,https://pubmed.ncbi.nlm.nih.gov/42466659/
438,2007,PRIMARY,"Changes in breast cancer incidence rates in the United States by histologic subtype and race/ethnicity, 1995 to 2004",10.1158/1055-9965.epi-07-0546,https://doi.org/10.1158/1055-9965.epi-07-0546,18086787,https://pubmed.ncbi.nlm.nih.gov/18086787/
448,2006,PRIMARY,"Race/ethnicity and changing US socioeconomic gradients in breast cancer incidence: California and Massachusetts, 1978-2002 (United States)",10.1007/s10552-005-0408-1,https://doi.org/10.1007/s10552-005-0408-1,16425100,https://pubmed.ncbi.nlm.nih.gov/16425100/
453,2010,PRIMARY,Racial differences in the incidence of breast cancer subtypes defined by combined histologic grade and hormone receptor status,10.1007/s10552-009-9472-2,https://doi.org/10.1007/s10552-009-9472-2,20024610,https://pubmed.ncbi.nlm.nih.gov/20024610/
455,2013,PRIMARY,Comparison of clinicopathologic features and survival in young American women aged 18-39 years in different ethnic groups with breast cancer,10.1038/bjc.2013.387,https://doi.org/10.1038/bjc.2013.387,23907433,https://pubmed.ncbi.nlm.nih.gov/23907433/
461,2015,PRIMARY,"Trends and Patterns of Late and Unstaged Lung, Colorectal, Female Breast, and  Prostate Cancers among American Indians in the Northern Plains, 2002-2009",10.1353/hpu.2015.0089,https://doi.org/10.1353/hpu.2015.0089,26320932,https://pubmed.ncbi.nlm.nih.gov/26320932/
463,2007,PRIMARY,Recent trends in breast cancer incidence among 6 Asian groups in the Greater Bay Area of Northern California,10.1002/ijc.22432,https://doi.org/10.1002/ijc.22432,17163416,https://pubmed.ncbi.nlm.nih.gov/17163416/
474,2026,PRIMARY,"Persistent poverty and breast cancer incidence by tumor subtype: intersections of rural/urban residence and race within USA Surveillance Epidemiology and End Results Registries, 2017 to 2021",10.1007/s10552-025-02114-z,https://doi.org/10.1007/s10552-025-02114-z,41546752,https://pubmed.ncbi.nlm.nih.gov/41546752/
475,2002,PRIMARY,The greater impact of menopause on ER- than ER+ breast cancer incidence: A possible explanation (United States),10.1023/a:1013960609008,https://doi.org/10.1023/a:1013960609008,11899120,https://pubmed.ncbi.nlm.nih.gov/11899120/
476,2026,PRIMARY,"Rural–urban disparities in breast cancer incidence among US women aged 20–49: trends by race/ethnicity, stage, poverty, and state from 2000–2019",10.1007/s10552-026-02134-3,https://doi.org/10.1007/s10552-026-02134-3,41665696,https://pubmed.ncbi.nlm.nih.gov/41665696/
477,2026,PRIMARY,"Spillover effects of public school integration in the southern United States: diverging trends in statewide annual breast cancer incidence, 2001–2019",10.1007/s10552-025-02124-x,https://doi.org/10.1007/s10552-025-02124-x,41649619,https://pubmed.ncbi.nlm.nih.gov/41649619/
480,2015,PRIMARY,Changes in the pattern of breast cancer burden among African American women: Evidence based on 29 states and District of Columbia during 1998 to 2010,10.1016/j.annepidem.2014.09.006,https://doi.org/10.1016/j.annepidem.2014.09.006,25442056,https://pubmed.ncbi.nlm.nih.gov/25442056/
485,2009,PRIMARY,"Trends in area-socioeconomic and race-ethnic disparities in breast cancer incidence, stage at diagnosis, screening, mortality, and survival among women ages 50 years and over (1987-2005)",10.1158/1055-9965.epi-08-0679,https://doi.org/10.1158/1055-9965.epi-08-0679,19124489,https://pubmed.ncbi.nlm.nih.gov/19124489/
500,2020,PRIMARY,"Trends in Cancer Incidence among American Indians and Alaska Natives and Non-Hispanic Whites in the United States, 1999-2015",10.1097/ede.0000000000001140,https://doi.org/10.1097/ede.0000000000001140,31764279,https://pubmed.ncbi.nlm.nih.gov/31764279/
504,2025,PRIMARY,Cancer Incidence and Trends in Persistent Poverty Areas of California by Race/Ethnicity and Sex,10.1002/cam4.71088,https://doi.org/10.1002/cam4.71088,40736150,https://pubmed.ncbi.nlm.nih.gov/40736150/
510,2016,ACS-AANHPI,"Cancer statistics for Asian Americans, Native Hawaiians, and Pacific Islanders, 2016: Converging incidence in males and females",10.3322/caac.21335,https://doi.org/10.3322/caac.21335,26766789,https://pubmed.ncbi.nlm.nih.gov/26766789/
516,2023,PRIMARY,The role of area-level socioeconomic disadvantage in racial disparities in cancer incidence in metropolitan Detroit,10.1002/cam4.6065,https://doi.org/10.1002/cam4.6065,37184135,https://pubmed.ncbi.nlm.nih.gov/37184135/
