record_id,year,series,registry_family_guess,pmid,doi,title,ft_decision,ft_reason,registry_family_confirmed,diagnosis_years,minority_group,minority_rate,minority_ci,nhw_rate,nhw_ci,irr,irr_ci,source_location,notes
148,2016,ACS-AABlack,Multi-registry aggregate report (ACS-AABlack),26910411,10.3322/caac.21340,"Cancer statistics for African Americans, 2016: Progress and opportunities in reducing racial disparities",,,,,,,,,,,,,
151,2013,PRIMARY,SEER,23878350,10.1093/jnci/djt157,"Cancer incidence trends among asian american populations in the united states, 1990-2008",,,,,,,,,,,,,
155,2023,PRIMARY,USCS (NPCR+SEER),36862439,10.1001/jamaoncol.2022.7835,State Variation in Racial and Ethnic Disparities in Incidence of Triple-Negative Breast Cancer among US Women,,,,,,,,,,,,,
156,2022,ARN,Multi-registry aggregate report (ARN),36301149,10.1002/cncr.34479,"Annual report to the nation on the status of cancer, part 1: National cancer statistics",,,,,,,,,,,,,
157,2005,PRIMARY,State/regional: connecticut,16258086,10.1200/jco.2004.01.0421,Breast cancer trends among black and white women in the United States,,,,,,,,,,,,,
158,2022,PRIMARY,UNSPECIFIED (confirm at full text),34731501,10.1002/cncr.34008,"Trends in breast cancer incidence rates by race/ethnicity: Patterns by stage, socioeconomic position, and geography in the United States, 1999-2017",,,,,,,,,,,,,
161,2019,PRIMARY,State/regional: hawaii,30503975,10.1016/j.canep.2018.11.006,The high and heterogeneous burden of breast cancer in Hawaii: A unique multiethnic U.S. Population,,,,,,,,,,,,,
165,2001,PRIMARY,UNSPECIFIED (confirm at full text),11562110,10.1023/a:1011240019516,Socioeconomic status and breast cancer incidence in California for different race/ethnic groups,,,,,,,,,,,,,
169,2022,PRIMARY,USCS (NPCR+SEER),35025856,10.15585/mmwr.mm7102a2,"Trends in Breast Cancer Incidence, by Race, Ethnicity, and Age Among Women Aged ≥20 Years - United States, 1999-2018",,,,,,,,,,,,,
178,2019,PRIMARY,UNSPECIFIED (confirm at full text),30426307,10.1007/s10549-018-5042-1,Trends in stage at diagnosis for young breast cancer patients in the United States,,,,,,,,,,,,,
182,2012,PRIMARY,USCS (NPCR+SEER),23151952,,"Vital signs: Racial disparities in breast cancer severity - United States, 2005-2009",,,,,,,,,,,,,
188,2006,PRIMARY,UNSPECIFIED (confirm at full text),16737949,,Trends in breast cancer by race and ethnicity: Update 2006,,,,,,,,,,,,,
190,2020,PRIMARY,State/regional: massachusetts,34128917,,"Cancer Incidence Rate Variations among the Chinese, South Asian, and Vietnamese  in Massachusetts, 2011-2015",,,,,,,,,,,,,
193,2026,PRIMARY,UNSPECIFIED (confirm at full text),40885651,10.1016/j.amjsurg.2025.116577,Breast cancer trends and outcomes among young Black Women: A national cancer database analysis,,,,,,,,,,,,,
199,2008,PRIMARY,SEER,18507200,10.1016/s0027-9684(15)31294-3,"Breast cancer epidemiology in blacks and whites: Disparities in incidence, mortality, survival rates and histology",,,,,,,,,,,,,
200,2012,PRIMARY,UNSPECIFIED (confirm at full text),23166647,10.1371/journal.pone.0049359,Breast Cancer Incidence in Black and White Women Stratified by Estrogen and Progesterone Receptor Statuses,,,,,,,,,,,,,
203,2008,PRIMARY,SEER,19001605,10.1093/jnci/djn344,Recent trends in breast cancer among younger women in the United States,,,,,,,,,,,,,
205,2011,PRIMARY,SEER,21357727,10.1158/1055-9965.epi-11-0061,Breast cancer incidence rates in U.S. women re no longer declining,,,,,,,,,,,,,
207,2013,PRIMARY,State/regional: hawaii,23878354,10.1093/jnci/djt156,"Cancer incidence trends among native hawaiians and other pacific islanders in the united states, 1990-2008",,,,,,,,,,,,,
209,2022,PRIMARY,SEER,36530732,10.3389/fpubh.2022.1058722,Racial and regional disparities of triple negative breast cancer incidence rates in the United States: An analysis of 2011-2019 NPCR and SEER incidence data,,,,,,,,,,,,,
210,2022,PRIMARY,SEER,34861613,10.1016/j.canep.2021.102076,"Breast cancer incidence trends in Asian women aged 20 or older as compared to other ethnic women in the United States from 2000 to 2018 by time period, age and tumor stage",,,,,,,,,,,,,
226,2022,PRIMARY,California Cancer Registry,35113296,10.1007/s10552-022-01557-y,"Home mortgage discrimination and incidence of triple-negative and Luminal A breast cancer among non-Hispanic Black and non-Hispanic White females in California, 2006–2015",,,,,,,,,,,,,
234,2026,PRIMARY,State/regional: hawaii,42377954,10.1001/jamanetworkopen.2026.21250,"Breast Cancer Incidence in Asian American, Native Hawaiian, and Pacific Islander Populations, 2000-2022",,,,,,,,,,,,,
235,2020,ARN,Multi-registry aggregate report (ARN),32162336,10.1002/cncr.32802,"Annual report to the nation on the status of cancer, part I: National cancer statistics",,,,,,,,,,,,,
236,2010,PRIMARY,California Cancer Registry,20147696,,Hidden breast cancer disparities in Asian women: disaggregating incidence rates by ethnicity and migrant status.,,,,,,,,,,,,,
238,2004,PRIMARY,Alaska Native Registry,15219802,10.1016/j.phr.2004.05.009,"Patterns in cancer incidence among American Indians/Alaska Natives, United States, 1992-1999",,,,,,,,,,,,,
246,2010,PRIMARY,UNSPECIFIED (confirm at full text),20567897,10.1007/s10552-010-9601-y,Does socioeconomic disparity in cancer incidence vary across racial/ethnic groups?,,,,,,,,,,,,,
251,2021,PRIMARY,UNSPECIFIED (confirm at full text),32671723,10.1007/s12282-020-01132-w,"Triple-negative breast cancer incidence in the United States: ecological correlations with area-level sociodemographics, healthcare, and health behaviors",,,,,,,,,,,,,
252,2020,PRIMARY,SEER,32212335,10.1002/cncr.32846,Forty-year trends in menopausal hormone therapy use and breast cancer incidence  among postmenopausal black and white women,,,,,,,,,,,,,
253,2000,PRIMARY,SEER,10761199,,Breast cancer patterns and lifetime risk of developing breast cancer among Puerto Rican females.,,,,,,,,,,,,,
259,2011,PRIMARY,SEER,21850396,10.1007/s10549-011-1719-4,What can we learn from the age- and race/ethnicity- specific rates of inflammatory breast carcinoma?,,,,,,,,,,,,,
265,2008,PRIMARY,SEER,19066264,10.1093/jnci/djn411,Age-related crossover in breast cancer incidence rates between black and white ethnic groups,,,,,,,,,,,,,
272,2003,PRIMARY,Alaska Native Registry,12973851,10.1002/cncr.11633,Cancer rates among American Indians and Alaska Natives: is there a national  perspective,,,,,,,,,,,,,
277,2018,PRIMARY,SEER,29516087,10.1001/jamasurg.2018.0035,Race/Ethnicity and Age Distribution of Breast Cancer Diagnosis in the United  States,,,,,,,,,,,,,
278,2013,PRIMARY,SEER,23443443,10.1001/jama.2013.776,"Incidence of breast cancer with distant involvement among women in the United States, 1976 to 2009",,,,,,,,,,,,,
284,2026,PRIMARY,State/regional: hawaii,42065927,10.1158/1055-9965.epi-26-0101,"Trends in Female Breast Cancer Incidence among Japanese, Korean, and US Populations: An Age-Period-Cohort Analysis",,,,,,,,,,,,,
286,2020,PRIMARY,SEER,33074325,10.1001/jamanetworkopen.2020.20303,Variation in breast cancer subtype incidence and distribution by race/ethnicity in the United States from 2010 to 2015,,,,,,,,,,,,,
310,2007,PRIMARY,SEER,18162138,10.1186/bcr1839,"Recent breast cancer trends among Asian/Pacific Islander, Hispanic, and African-American women in the US: Changes by tumor subtype",,,,,,,,,,,,,
316,2018,PRIMARY,SEER,29509274,10.1002/cncr.31315,Early estimates of cancer incidence for 2015: Expanding to include estimates for white and black races,,,,,,,,,,,,,
321,2016,PRIMARY,State/regional: texas,27118258,10.1186/s12885-016-2324-z,Risks of developing breast and colorectal cancer in association with incomes and geographic locations in Texas: A retrospective cohort study,,,,,,,,,,,,,
322,2006,PRIMARY,State/regional: hawaii,16322891,10.1007/s10549-005-9088-5,Inter- and intra-ethnic differences for female breast carcinoma incidence in the continental United States and in the state of Hawaii,,,,,,,,,,,,,
324,2017,PRIMARY,California Cancer Registry,28365834,10.1007/s10549-017-4229-1,"Breast cancer in Asian Americans in California, 1988–2013: increasing incidence trends and recent data on breast cancer subtypes",,,,,,,,,,,,,
333,2010,PRIMARY,California Cancer Registry,20447917,10.1158/1055-9965.epi-10-0021,Breast cancer incidence patterns among california hispanic women: Differences by nativity and residence in an enclave,,,,,,,,,,,,,
336,2007,PRIMARY,State/regional: hawaii,17627009,10.1158/1055-9965.epi-07-0108,Early- and late-onset breast cancer types among women in the United States and Japan,,,,,,,,,,,,,
339,2010,PRIMARY,Alaska Native Registry,20167158,,"Cancers of the breast, uterus, ovary and cervix among Alaska native women, 1974-2003",,,,,,,,,,,,,
346,2016,PRIMARY,USCS (NPCR+SEER),27736827,10.15585/mmwr.mm6540a1,"Patterns and Trends in Age-Specific Black-White Differences in Breast Cancer Incidence and Mortality - United States, 1999-2014",,,,,,,,,,,,,
354,2005,PRIMARY,SEER,16259500,,Explaining geographic variation in breast and cervical cancer incidence rates in US Hispanic women,,,,,,,,,,,,,
358,2014,ARN,Multi-registry aggregate report (ARN),24343171,10.1002/cncr.28509,"Annual Report to the Nation on the status of cancer, 1975-2010, featuring  prevalence of comorbidity and impact on survival among persons with lung, colorectal, breast, or prostate cancer",,,,,,,,,,,,,
361,2010,PRIMARY,Alaska Native Registry,20147667,,Decline in US breast cancer rates after the Women's Health Initiative: socioeconomic and racial/ethnic differentials.,,,,,,,,,,,,,
362,2017,ARN,Multi-registry aggregate report (ARN),28376154,10.1093/jnci/djx030,"Annual Report to the Nation on the Status of Cancer, 1975-2014, Featuring  Survival",,,,,,,,,,,,,
369,2018,PRIMARY,Alaska Native Registry,29445940,10.1007/s10549-018-4699-9,"Differences in breast cancer incidence among young women aged 20–49 years by stage and tumor characteristics, age, race, and ethnicity, 2004–2013",,,,,,,,,,,,,
