dimension,group,record,IRR,rob,d_RoB,d_Incons,d_Indirect,d_Imprec,d_PubBias,up_LargeEffect,I2_allincl,GRADE
subtype-HRpos-HER2pos,Filipino,161,"0.88 [0.86, 0.91]",Good,0,0,0,0,0,0,single,Low
subtype-TNBC,Filipino,161,"0.84 [0.8, 0.88]",Good,0,0,0,0,0,0,single,Low
age-ge50,Hispanic,485,0.660,Poor,1,0,0,1,0,0,single,Very low
age-lt50,Hispanic,146,"0.76 [0.75, 0.77]",Good,0,0,0,0,0,0,single,Low
subtype-HRpos-HER2neg,Hispanic,286,"0.78 [0.76, 0.79]",Good,0,0,0,0,0,0,99,Low
subtype-HRpos-HER2pos,Hispanic,286,"0.91 [0.88, 0.94]",Good,0,0,0,0,0,0,97,Low
subtype-TNBC,Hispanic,155,"0.860 [0.840, 0.880]",Good,0,0,0,0,0,0,89,Low
age-ge50,Japanese,522,"1.064 [0.978, 1.157]",Good,0,0,0,1,0,0,single,Very low
age-lt50,Japanese,522,"1.479 [1.252, 1.748]",Good,0,0,0,0,0,0,single,Low
subtype-HRneg-HER2pos,Japanese,161,"0.88 [0.82, 0.95]",Good,0,0,0,0,0,0,single,Low
subtype-HRpos-HER2neg,Japanese,161,"1.03 [1.03, 1.04]",Good,0,0,0,0,0,0,single,Low
subtype-HRpos-HER2pos,Japanese,161,"1.03 [1.02, 1.05]",Good,0,0,0,0,0,0,single,Low
age-ge50,Native Hawaiian,522,"1.366 [1.246, 1.499]",Good,0,0,0,0,0,0,single,Low
age-lt50,Native Hawaiian,522,"0.858 [0.710, 1.036]",Good,0,0,0,0,0,0,single,Low
subtype-HRneg-HER2pos,Native Hawaiian,161,"1.19 [1.16, 1.21]",Good,0,0,0,0,0,0,single,Low
subtype-HRpos-HER2neg,Native Hawaiian,161,"1.12 [1.11, 1.14]",Good,0,0,0,0,0,0,single,Low
subtype-HRpos-HER2pos,Native Hawaiian,161,"1.35 [1.347, 1.351]",Good,0,0,0,0,0,0,single,Low
subtype-TNBC,Native Hawaiian,161,"0.86 [0.79, 0.91]",Good,0,0,0,0,0,0,single,Low
subtype-HRpos-HER2neg,South Asian,324,"1.48 [1.29, 1.69]",Good,0,0,0,0,0,0,single,Low
subtype-HRpos-HER2neg,Vietnamese,324,"1.39 [1.12, 1.73]",Good,0,0,0,0,0,0,single,Low
